Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1639064113.2997031,165359,1639064113,292104305,base_mag,493.8053894042969,-10.34639835357666,221.0366973876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.310761,165360,1639064113,301131121,base_mag,497.5677185058594,-0.9405816793441772,217.2743682861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3197076,165361,1639064113,307702987,base_mag,498.50830078125,10.34639835357666,206.927978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3324616,165362,1639064113,320946718,base_mag,503.2112121582031,23.514541625976562,203.1656494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3429964,165363,1639064113,329550542,base_mag,507.91412353515625,45.14792251586914,182.4728546142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3501651,165364,1639064113,338640357,base_mag,509.7952880859375,56.43490219116211,176.82936096191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3508182,165365,1639064113,346289201,base_mag,511.67645263671875,70.54362487792969,165.54237365722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3722506,165366,1639064113,360300916,base_mag,513.5576171875,79.00886535644531,158.01773071289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3859403,165367,1639064113,367677765,base_mag,513.5576171875,79.00886535644531,158.01773071289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.3898013,165368,1639064113,380152511,base_mag,514.4981689453125,93.11758422851562,142.96841430664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.404359,165369,1639064113,392695256,base_mag,515.4387817382812,108.1668930053711,125.09736633300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.40733,165370,1639064113,401670073,base_mag,515.4387817382812,108.1668930053711,125.09736633300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4205797,165371,1639064113,412499852,base_mag,518.260498046875,119.45387268066406,108.1668930053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4302275,165372,1639064113,418994720,base_mag,517.3199462890625,119.45387268066406,101.58282470703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4407113,165373,1639064113,429113514,base_mag,515.4387817382812,124.15678405761719,96.87991333007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.452452,165374,1639064113,442631238,base_mag,517.3199462890625,126.03794860839844,94.99874877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4646578,165375,1639064113,449487098,base_mag,517.3199462890625,126.03794860839844,94.99874877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4732375,165376,1639064113,461276858,base_mag,516.3793334960938,127.91911315917969,92.17700958251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4819324,165377,1639064113,470358673,base_mag,516.3793334960938,128.8596954345703,92.17700958251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.4917521,165378,1639064113,482075434,base_mag,517.3199462890625,126.03794860839844,94.05816650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.502875,165379,1639064113,490821256,base_mag,517.3199462890625,121.33503723144531,93.11758422851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5124068,165380,1639064113,500775053,base_mag,519.2011108398438,116.63213348388672,97.82049560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5130508,165381,1639064113,507376919,base_mag,520.1416625976562,110.04805755615234,100.64224243164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5243275,165382,1639064113,522692607,base_mag,522.0228271484375,102.52340698242188,104.40457153320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5446463,165383,1639064113,529206474,base_mag,522.0228271484375,86.53351593017578,105.34514617919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.557086,165384,1639064113,540449245,base_mag,523.9039916992188,77.12770080566406,105.34514617919922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5653937,165385,1639064113,551064029,base_mag,523.9039916992188,66.78130340576172,110.04805755615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5731206,165386,1639064113,563190782,base_mag,524.8446044921875,47.029083251953125,119.45387268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5912383,165387,1639064113,572212598,base_mag,525.78515625,35.742103576660156,126.97853088378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.5913553,165388,1639064113,585260332,base_mag,522.0228271484375,21.633378982543945,144.84957885742188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.6136868,165389,1639064113,596419104,base_mag,518.260498046875,3.762326717376709,160.83946228027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
