Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1639064173.3444967,171305,1639064173,335052713,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2364886999130249,0.30652984976768494,0.9305084943771362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.275979042053223,3.1004910469055176,1.3311761617660522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3539398,171306,1639064173,343017033,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047137949615716934,0.2725745439529419,0.905341625213623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.249642848968506,3.1435868740081787,1.2928688526153564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3773239,171307,1639064173,352519028,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11265171319246292,0.2467418760061264,0.8731173872947693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.103596210479736,3.227383852005005,1.1731587648391724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3792844,171308,1639064173,362459930,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612560987472534,0.2352902889251709,0.8282430768013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.964732646942139,3.3399112224578857,1.4293383359909058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3872797,171309,1639064173,375585161,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3362240791320801,0.22716763615608215,0.7807056903839111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8809356689453125,3.73016619682312,1.4437036514282227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.3879015,171310,1639064173,385031168,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4205131232738495,0.20746025443077087,0.735298752784729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.823474884033203,4.264073371887207,0.9265560507774353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.4157708,171311,1639064173,392574576,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42224419116973877,0.20426446199417114,0.6775081753730774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.617573261260986,4.350264549255371,1.0055646896362305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.4162946,171312,1639064173,404694019,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39747679233551025,0.17110809683799744,0.5826996564865112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.53377628326416,4.584896087646484,1.0438718795776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.4246998,171313,1639064173,414432964,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353934109210968,0.1311606764793396,0.4953479766845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.507440090179443,4.776432514190674,1.0223240852355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.4253566,171314,1639064173,422753209,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3026682436466217,0.1034638062119484,0.3972104787826538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.4164605140686035,4.855441093444824,1.0534486770629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.44231,171315,1639064173,431766307,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2655171751976013,0.06524744629859924,0.2954777181148529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.3949127197265625,4.599261283874512,1.2090718746185303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064173.442955,171316,1639064173,441129331,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26325348019599915,0.031558457762002945,0.1973402351140976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.100425720214844,4.2066121101379395,1.6280571222305298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
